openness,conscientiousness,extraversion,agreeableness,neuroticism,career,category
78.31,77.02,32.98,58.76,32.84,Mechanical Engineer,Engineering and Architecture
85.39,65.06,55.51,68.04,41.58,UI UX Designer,Creative Media and Design
73.64,77.22,45.87,43.04,33.98,Web Developer,Technology and IT
85.36,73.3,50.1,69.7,40.75,Content Writer,Creative Media and Design
90.58,82.82,28.71,57.61,21.63,Machine Learning Engineer,Technology and IT
67.57,79.65,78.03,93.98,30.17,Teacher,Education and Research
79.51,73.26,33.9,53.43,28.2,Video Editor,Creative Media and Design
67.5,84.47,71.09,87.62,32.87,Teacher,Education and Research
71.33,98.05,43.89,55.42,33.55,Electrical Engineer,Engineering and Architecture
78.73,92.04,39.76,52.32,32.18,Cloud Engineer,Technology and IT
97.91,78.31,46.21,67.03,36.42,Researcher,Education and Research
93.8,58.31,62.59,63.18,40.11,Graphic Designer,Creative Media and Design
84.67,61.94,82.89,67.63,34.18,Marketing Manager,Business Management and Finance
66.4,91.64,42.78,56.33,28.75,Mechanical Engineer,Engineering and Architecture
64.99,90.65,60.01,63.29,31.91,Business Analyst,Business Management and Finance
76.17,72.52,50.7,60.2,31.29,Web Developer,Technology and IT
65.62,83.02,72.9,73.02,33.88,Nutritionist,Healthcare and Medical
68.8,96.46,50.1,51.97,21.79,DevOps Engineer,Technology and IT
69.59,87.11,34.86,58.3,31.38,Mechanical Engineer,Engineering and Architecture
77.62,89.75,76.86,74.0,26.4,Civil Servant CSS Officer,Law Government and Security
71.72,72.85,70.13,92.09,28.97,Social Worker,Social and Behavioral Sciences
96.77,79.5,41.22,66.2,25.91,Environmental Scientist,Environmental Science
77.07,90.75,91.47,74.99,36.15,Project Manager,Business Management and Finance
60.34,88.92,25.64,62.18,23.12,Radiologist,Healthcare and Medical
73.47,88.2,57.13,81.36,26.28,Doctor,Healthcare and Medical
72.82,89.27,29.85,53.33,21.8,Chemical Engineer,Engineering and Architecture
79.08,68.32,91.64,54.59,29.67,Sales Manager,Business Management and Finance
62.19,96.16,38.71,54.11,25.98,Financial Analyst,Business Management and Finance
83.74,91.15,41.33,50.55,29.5,Machine Learning Engineer,Technology and IT
73.3,94.91,59.85,84.69,21.87,Doctor,Healthcare and Medical
87.6,77.71,82.42,58.75,36.27,Digital Marketing Specialist,Creative Media and Design
75.62,91.56,71.58,62.16,34.45,Project Manager,Business Management and Finance
63.15,84.12,44.55,49.89,31.03,Electrical Engineer,Engineering and Architecture
60.41,91.37,54.98,62.66,9.94,Pilot,Law Government and Security
77.5,63.42,86.5,68.75,27.8,Sales Manager,Business Management and Finance
85.73,76.47,38.32,54.51,31.38,Data Scientist,Technology and IT
80.92,63.28,59.74,64.78,42.66,Photographer,Creative Media and Design
65.18,96.29,73.2,68.97,32.85,Civil Servant CSS Officer,Law Government and Security
59.05,76.87,61.12,83.82,34.36,Physiotherapist,Healthcare and Medical
58.01,92.7,59.31,59.4,7.09,Pilot,Law Government and Security
49.2,95.96,77.66,57.8,12.48,Army Officer,Law Government and Security
80.86,70.6,37.9,53.91,28.34,Video Editor,Creative Media and Design
71.38,80.52,72.62,77.32,26.01,Teacher,Education and Research
86.49,83.87,37.15,66.86,22.05,Environmental Scientist,Environmental Science
73.47,90.62,35.23,56.16,28.58,Chemical Engineer,Engineering and Architecture
51.76,98.98,30.28,57.91,19.91,Medical Laboratory Technologist,Healthcare and Medical
90.98,86.5,23.48,56.06,28.08,Researcher,Education and Research
85.33,72.06,86.8,56.64,39.72,Journalist,Creative Media and Design
79.76,66.04,40.11,56.39,34.87,Video Editor,Creative Media and Design
66.78,78.08,38.05,60.45,26.9,Chemical Engineer,Engineering and Architecture
76.27,89.31,39.49,59.63,29.6,DevOps Engineer,Technology and IT
79.38,73.06,82.21,69.06,37.5,Marketing Manager,Business Management and Finance
91.8,59.06,45.56,62.09,40.2,Graphic Designer,Creative Media and Design
62.04,82.08,50.73,64.96,31.46,Civil Engineer,Engineering and Architecture
71.69,86.78,52.89,64.37,24.93,Industrial Engineer,Engineering and Architecture
79.44,96.76,57.13,79.64,21.9,Doctor,Healthcare and Medical
77.74,91.23,38.26,49.72,30.76,Software Engineer,Technology and IT
70.51,70.73,54.99,94.54,29.85,Teacher,Education and Research
83.93,78.84,40.57,62.74,22.0,Environmental Scientist,Environmental Science
67.18,87.22,39.57,58.34,29.5,Mechanical Engineer,Engineering and Architecture
71.91,75.68,67.6,85.43,25.29,Teacher,Education and Research
81.56,80.15,46.83,55.79,33.08,Mobile App Developer,Technology and IT
91.94,68.78,56.52,91.46,30.97,Psychologist,Social and Behavioral Sciences
60.35,87.81,29.26,51.92,28.15,Database Administrator,Technology and IT
83.15,66.81,43.96,57.31,41.08,Video Editor,Creative Media and Design
69.65,87.65,39.04,71.33,21.94,Pharmacist,Healthcare and Medical
70.91,74.92,87.96,68.68,36.93,Sales Manager,Business Management and Finance
71.15,97.48,46.73,67.65,18.39,Surgeon,Healthcare and Medical
69.52,83.62,54.42,59.28,11.2,Pilot,Law Government and Security
69.92,91.76,76.03,75.06,30.31,Civil Servant CSS Officer,Law Government and Security
59.98,80.26,81.55,91.56,36.99,HR Manager,Business Management and Finance
44.16,89.09,58.51,53.76,11.74,Army Officer,Law Government and Security
66.21,73.33,67.11,97.14,35.14,Social Worker,Social and Behavioral Sciences
74.05,94.31,45.51,57.93,31.09,DevOps Engineer,Technology and IT
60.11,89.03,66.97,62.99,22.08,Judge,Law Government and Security
51.49,92.87,54.52,56.3,20.52,Pilot,Law Government and Security
66.82,87.29,57.21,84.16,21.43,Doctor,Healthcare and Medical
72.92,92.03,36.83,60.79,21.87,Cybersecurity Analyst,Technology and IT
87.01,74.02,84.95,71.16,23.85,Marketing Manager,Business Management and Finance
73.6,74.33,82.92,94.98,33.33,HR Manager,Business Management and Finance
95.89,66.19,56.86,95.02,36.48,Psychologist,Social and Behavioral Sciences
58.61,78.76,58.42,84.7,28.86,Physiotherapist,Healthcare and Medical
80.0,82.59,27.62,62.48,30.68,Data Scientist,Technology and IT
71.24,86.18,26.84,43.94,19.82,Cybersecurity Analyst,Technology and IT
69.11,91.27,30.37,55.17,15.55,Cybersecurity Analyst,Technology and IT
72.5,88.92,52.82,75.58,21.95,Surgeon,Healthcare and Medical
66.78,90.37,50.85,59.21,24.4,Civil Engineer,Engineering and Architecture
63.53,100.0,58.52,58.5,14.67,Pilot,Law Government and Security
78.61,96.4,64.33,58.52,21.88,Judge,Law Government and Security
85.4,75.5,67.92,98.84,36.8,Psychologist,Social and Behavioral Sciences
69.15,80.58,79.43,87.77,40.53,HR Manager,Business Management and Finance
92.79,77.61,45.52,68.94,32.7,Architect,Engineering and Architecture
84.43,85.54,76.78,79.32,39.49,Lecturer,Education and Research
86.59,61.59,38.13,55.63,38.59,Animator,Creative Media and Design
92.4,82.24,47.39,64.93,27.46,Architect,Engineering and Architecture
89.96,90.21,39.74,63.32,26.38,AI Engineer,Technology and IT
76.74,79.47,50.31,53.68,34.31,Mobile App Developer,Technology and IT
84.73,63.24,42.07,56.07,46.43,Animator,Creative Media and Design
85.22,74.47,42.61,66.18,33.99,Architect,Engineering and Architecture
60.11,85.65,79.73,55.43,21.95,Police Officer,Law Government and Security
75.23,84.1,63.45,67.98,22.44,Civil Servant CSS Officer,Law Government and Security
90.27,71.16,48.66,67.82,29.32,Content Writer,Creative Media and Design
58.61,94.05,33.52,61.16,25.02,Medical Laboratory Technologist,Healthcare and Medical
57.86,80.88,74.65,87.59,28.06,Physiotherapist,Healthcare and Medical
84.85,70.42,58.06,60.38,36.22,Photographer,Creative Media and Design
62.67,97.8,50.86,65.44,18.15,Pilot,Law Government and Security
48.16,93.9,57.3,56.16,19.32,Pilot,Law Government and Security
78.9,69.76,44.81,53.12,38.37,Video Editor,Creative Media and Design
55.8,82.72,49.11,56.22,17.43,Pilot,Law Government and Security
71.16,84.09,34.62,60.28,31.77,Mechanical Engineer,Engineering and Architecture
66.11,81.7,39.19,56.81,32.26,Web Developer,Technology and IT
70.04,93.98,62.76,88.13,22.2,Doctor,Healthcare and Medical
95.1,59.47,59.06,67.99,32.9,UI UX Designer,Creative Media and Design
66.62,91.27,78.94,78.47,23.21,Project Manager,Business Management and Finance
58.13,89.85,67.33,93.47,22.16,Nurse,Healthcare and Medical
71.18,86.07,59.56,82.35,40.14,Physiotherapist,Healthcare and Medical
69.92,85.58,36.24,51.74,35.27,Electrical Engineer,Engineering and Architecture
80.59,83.48,34.95,62.49,35.41,Researcher,Education and Research
87.78,81.33,33.82,63.24,26.77,Researcher,Education and Research
71.48,81.8,82.44,57.12,37.65,Lawyer,Law Government and Security
88.36,76.16,80.83,56.29,43.26,Digital Marketing Specialist,Creative Media and Design
71.15,83.67,80.05,55.77,35.02,Lawyer,Law Government and Security
48.77,89.8,75.04,59.73,26.62,Army Officer,Law Government and Security
51.27,95.98,25.72,50.79,27.08,Database Administrator,Technology and IT
61.08,87.19,21.86,52.28,18.66,Accountant,Business Management and Finance
76.76,78.16,85.05,56.91,34.68,Sales Manager,Business Management and Finance
84.26,82.24,30.42,57.35,35.16,Data Scientist,Technology and IT
78.03,85.78,62.12,75.62,27.52,Civil Servant CSS Officer,Law Government and Security
62.73,76.03,57.39,93.86,23.42,Nurse,Healthcare and Medical
99.51,85.85,44.23,44.81,30.39,AI Engineer,Technology and IT
78.01,67.07,54.39,55.81,39.06,Graphic Designer,Creative Media and Design
75.73,92.22,50.3,74.19,18.89,Surgeon,Healthcare and Medical
53.66,91.15,27.61,50.54,24.75,Accountant,Business Management and Finance
75.4,78.95,58.62,84.88,24.39,Academic Advisor,Education and Research
65.21,98.66,47.76,74.35,17.16,Surgeon,Healthcare and Medical
65.02,100.0,24.59,68.06,31.57,Medical Laboratory Technologist,Healthcare and Medical
72.98,83.96,45.94,64.14,32.38,Industrial Engineer,Engineering and Architecture
78.07,73.86,83.68,60.36,40.77,Marketing Manager,Business Management and Finance
70.06,74.58,58.11,89.48,33.75,Social Worker,Social and Behavioral Sciences
88.28,71.88,33.87,56.26,46.69,Video Editor,Creative Media and Design
85.35,83.39,69.6,60.68,32.78,Civil Servant CSS Officer,Law Government and Security
73.6,74.84,67.38,99.64,34.7,Social Worker,Social and Behavioral Sciences
69.31,93.53,74.71,66.14,28.86,Project Manager,Business Management and Finance
82.38,79.21,79.83,55.76,32.0,Lawyer,Law Government and Security
67.29,100.0,61.24,57.18,14.93,Pilot,Law Government and Security
55.21,82.75,69.34,85.08,22.6,Nurse,Healthcare and Medical
83.83,80.5,38.34,69.02,39.07,Environmental Scientist,Environmental Science
66.92,71.32,67.98,96.97,32.91,Social Worker,Social and Behavioral Sciences
89.22,83.36,54.16,92.52,36.96,Psychologist,Social and Behavioral Sciences
61.31,89.81,38.76,53.03,28.32,Financial Analyst,Business Management and Finance
56.66,78.63,79.8,63.95,20.47,Police Officer,Law Government and Security
69.77,76.69,49.79,46.09,45.79,Mobile App Developer,Technology and IT
81.11,74.43,49.79,61.14,32.04,Architect,Engineering and Architecture
69.92,81.52,55.37,58.37,12.07,Business Analyst,Business Management and Finance
88.34,79.99,54.74,89.96,30.25,Psychologist,Social and Behavioral Sciences
71.25,89.67,40.61,54.5,30.17,Mechanical Engineer,Engineering and Architecture
72.73,80.0,66.8,78.81,40.51,Teacher,Education and Research
67.0,72.8,67.18,89.71,42.98,Social Worker,Social and Behavioral Sciences
59.27,89.11,56.38,95.05,23.06,Nurse,Healthcare and Medical
80.16,80.34,38.53,57.25,32.42,Web Developer,Technology and IT
57.99,93.27,52.58,63.3,23.46,Pilot,Law Government and Security
63.41,92.03,65.46,67.75,26.4,Doctor,Healthcare and Medical
74.02,76.25,77.76,77.26,31.89,Lecturer,Education and Research
61.02,99.4,47.5,55.47,20.55,Pilot,Law Government and Security
77.95,80.26,84.37,59.04,32.84,Digital Marketing Specialist,Creative Media and Design
74.75,72.93,66.23,99.87,25.13,Social Worker,Social and Behavioral Sciences
92.01,69.25,47.88,61.83,37.38,Content Writer,Creative Media and Design
59.72,96.63,25.17,46.91,21.54,Database Administrator,Technology and IT
56.07,90.59,34.11,72.04,33.2,Radiologist,Healthcare and Medical
62.61,96.8,43.86,80.18,20.21,Surgeon,Healthcare and Medical
81.67,68.5,38.55,60.65,37.88,Video Editor,Creative Media and Design
86.49,83.68,63.57,75.46,29.14,Lecturer,Education and Research
77.21,92.86,41.89,72.21,20.26,Dentist,Healthcare and Medical
55.63,84.43,65.31,89.13,31.55,Nurse,Healthcare and Medical
51.49,98.85,53.37,50.9,12.32,Pilot,Law Government and Security
85.02,77.31,72.76,62.96,37.91,Entrepreneur,Business Management and Finance
67.81,75.05,70.99,89.3,35.37,Teacher,Education and Research
68.94,76.43,53.11,99.28,42.26,Social Worker,Social and Behavioral Sciences
68.68,85.36,41.68,61.11,23.95,Financial Analyst,Business Management and Finance
56.77,92.06,69.07,56.41,18.15,Army Officer,Law Government and Security
82.23,68.4,86.1,62.93,39.06,Marketing Manager,Business Management and Finance
75.79,82.17,74.22,77.97,25.9,Lecturer,Education and Research
81.71,84.48,40.58,42.61,25.79,Data Scientist,Technology and IT
78.12,61.43,45.28,54.32,28.58,Animator,Creative Media and Design
94.7,65.34,55.04,61.85,44.01,Graphic Designer,Creative Media and Design
59.85,82.75,47.64,70.49,29.1,Pharmacist,Healthcare and Medical
86.15,55.18,35.75,60.29,30.47,Animator,Creative Media and Design
68.33,92.56,44.61,68.23,28.39,Pharmacist,Healthcare and Medical
94.85,68.88,46.34,66.07,33.3,Content Writer,Creative Media and Design
61.34,88.88,44.85,78.91,27.58,Dentist,Healthcare and Medical
47.74,89.1,74.43,64.7,10.98,Army Officer,Law Government and Security
79.9,96.91,72.46,73.31,20.98,Civil Servant CSS Officer,Law Government and Security
74.86,92.47,27.4,50.97,19.7,Chemical Engineer,Engineering and Architecture
69.27,86.95,56.07,67.55,19.07,Surgeon,Healthcare and Medical
97.06,70.15,41.15,64.9,42.15,Architect,Engineering and Architecture
61.49,96.32,59.22,71.39,11.23,Surgeon,Healthcare and Medical
83.64,64.73,58.93,53.09,37.67,UI UX Designer,Creative Media and Design
81.93,65.94,84.12,60.17,36.55,Marketing Manager,Business Management and Finance
69.74,74.76,86.72,55.33,38.55,Sales Manager,Business Management and Finance
73.94,94.12,72.8,65.92,26.12,Project Manager,Business Management and Finance
64.14,85.71,73.71,65.56,28.34,Project Manager,Business Management and Finance
91.19,68.16,51.92,60.5,36.73,Photographer,Creative Media and Design
93.92,90.45,41.7,60.36,22.33,Machine Learning Engineer,Technology and IT
93.57,61.14,37.8,71.63,41.21,Graphic Designer,Creative Media and Design
68.5,71.77,75.87,86.81,41.67,Teacher,Education and Research
87.51,93.29,34.84,52.81,21.91,AI Engineer,Technology and IT
83.94,67.57,81.15,94.6,32.3,HR Manager,Business Management and Finance
60.7,89.69,34.98,50.52,23.99,Cloud Engineer,Technology and IT
81.45,67.01,43.82,55.64,30.6,Video Editor,Creative Media and Design
65.84,92.02,41.11,58.37,26.46,Civil Engineer,Engineering and Architecture
61.35,96.38,71.35,67.23,20.31,Army Officer,Law Government and Security
68.46,93.37,47.54,44.6,28.14,Financial Analyst,Business Management and Finance
79.54,78.42,61.05,70.74,23.24,Business Analyst,Business Management and Finance
100.0,60.7,47.23,56.04,38.78,Graphic Designer,Creative Media and Design
58.6,91.28,63.19,62.54,17.44,Judge,Law Government and Security
88.73,70.14,85.97,69.93,27.65,Marketing Manager,Business Management and Finance
57.56,85.47,25.19,59.95,21.94,Medical Laboratory Technologist,Healthcare and Medical
84.22,63.04,29.94,65.22,47.62,Video Editor,Creative Media and Design
73.0,84.19,45.67,47.53,31.42,Cybersecurity Analyst,Technology and IT
69.72,96.72,51.43,62.31,28.4,Industrial Engineer,Engineering and Architecture
70.47,89.01,90.21,66.62,36.56,Sales Manager,Business Management and Finance
62.11,89.36,31.67,51.52,25.23,Accountant,Business Management and Finance
82.3,76.57,39.08,47.16,41.73,Video Editor,Creative Media and Design
68.07,92.68,42.05,43.32,28.76,Cybersecurity Analyst,Technology and IT
59.62,90.78,32.85,54.92,19.0,Database Administrator,Technology and IT
74.14,82.94,30.54,55.65,27.24,Mechanical Engineer,Engineering and Architecture
85.76,67.06,56.16,58.11,37.02,Video Editor,Creative Media and Design
73.9,74.94,82.82,94.43,33.0,HR Manager,Business Management and Finance
64.95,94.1,59.69,86.18,28.41,Nurse,Healthcare and Medical
73.76,75.41,50.72,65.21,30.85,Web Developer,Technology and IT
66.61,87.1,60.6,85.84,33.0,Nutritionist,Healthcare and Medical
56.45,86.12,73.63,58.43,19.82,Police Officer,Law Government and Security
84.17,63.85,43.62,60.07,27.38,Video Editor,Creative Media and Design
67.79,74.9,86.26,69.1,37.29,Sales Manager,Business Management and Finance
57.37,73.44,88.48,80.22,33.93,HR Manager,Business Management and Finance
97.36,90.02,40.62,64.69,35.37,Researcher,Education and Research
71.66,79.05,47.53,59.58,24.18,Industrial Engineer,Engineering and Architecture
87.51,63.81,57.98,71.15,37.11,Photographer,Creative Media and Design
88.37,56.95,58.19,63.39,41.71,Graphic Designer,Creative Media and Design
94.51,83.66,40.68,63.82,36.31,Researcher,Education and Research
83.66,63.69,60.15,60.43,28.89,Photographer,Creative Media and Design
84.8,70.09,38.23,65.42,28.42,Content Writer,Creative Media and Design
90.61,75.48,56.06,58.82,41.53,UI UX Designer,Creative Media and Design
66.95,88.01,67.44,73.39,37.29,Business Analyst,Business Management and Finance
81.27,89.92,50.16,94.31,30.4,Doctor,Healthcare and Medical
87.94,84.86,32.54,69.2,23.12,Environmental Scientist,Environmental Science
85.39,71.71,54.56,63.01,40.95,Architect,Engineering and Architecture
78.16,93.01,36.97,58.54,16.96,Chemical Engineer,Engineering and Architecture
85.65,78.49,79.82,60.99,43.07,Digital Marketing Specialist,Creative Media and Design
68.23,80.29,62.16,93.17,30.72,Academic Advisor,Education and Research
84.33,85.27,41.9,51.68,40.95,Machine Learning Engineer,Technology and IT
66.31,91.12,39.88,53.31,33.5,Chemical Engineer,Engineering and Architecture
89.05,80.07,48.19,68.87,31.13,Architect,Engineering and Architecture
64.39,92.94,26.94,68.89,26.11,Radiologist,Healthcare and Medical
73.02,90.81,53.77,54.03,35.84,Web Developer,Technology and IT
80.33,88.56,82.44,63.18,31.3,Lawyer,Law Government and Security
84.8,68.01,46.54,61.66,42.25,Photographer,Creative Media and Design
89.84,63.2,71.4,60.33,44.92,Journalist,Creative Media and Design
83.22,71.95,77.05,59.46,34.99,Entrepreneur,Business Management and Finance
70.71,74.2,84.97,83.96,22.98,HR Manager,Business Management and Finance
66.05,85.97,34.59,79.16,33.53,Pharmacist,Healthcare and Medical
88.72,75.06,79.79,54.63,38.81,Entrepreneur,Business Management and Finance
91.53,69.98,55.98,78.2,39.44,UI UX Designer,Creative Media and Design
72.25,89.97,65.1,77.73,31.29,Doctor,Healthcare and Medical
75.81,84.9,77.84,63.83,36.58,Project Manager,Business Management and Finance
90.18,90.53,39.48,57.83,26.99,Data Scientist,Technology and IT
87.8,65.16,60.0,69.64,24.97,UI UX Designer,Creative Media and Design
56.11,85.34,67.45,59.42,28.46,Police Officer,Law Government and Security
90.99,55.86,48.56,54.61,35.6,Animator,Creative Media and Design
48.61,95.56,23.58,55.13,29.94,Accountant,Business Management and Finance
55.58,79.86,28.17,58.37,29.47,Database Administrator,Technology and IT
77.17,62.08,45.62,54.43,37.02,Video Editor,Creative Media and Design
62.7,93.13,42.44,50.84,26.47,Electrical Engineer,Engineering and Architecture
77.03,98.3,45.2,59.64,19.8,Mechanical Engineer,Engineering and Architecture
67.07,89.13,67.08,77.47,32.16,Project Manager,Business Management and Finance
62.18,85.36,66.03,83.77,34.95,Physiotherapist,Healthcare and Medical
62.81,100.0,56.04,64.65,19.35,Pilot,Law Government and Security
88.84,93.44,37.43,58.11,19.68,Machine Learning Engineer,Technology and IT
70.24,100.0,68.41,66.51,20.12,Civil Servant CSS Officer,Law Government and Security
75.62,84.42,51.08,63.91,29.3,Industrial Engineer,Engineering and Architecture
68.34,97.49,53.09,74.61,12.44,Surgeon,Healthcare and Medical
62.63,96.93,57.52,64.46,21.45,Judge,Law Government and Security
90.06,64.19,56.83,64.77,31.29,Architect,Engineering and Architecture
72.86,90.18,67.4,74.27,33.94,Project Manager,Business Management and Finance
90.51,69.39,82.14,61.16,50.3,Entrepreneur,Business Management and Finance
86.91,85.27,66.6,66.37,37.27,Business Analyst,Business Management and Finance
56.29,89.8,40.64,43.22,14.51,Accountant,Business Management and Finance
86.19,87.65,33.66,55.02,23.71,AI Engineer,Technology and IT
57.32,97.94,22.72,51.05,27.25,Database Administrator,Technology and IT
89.44,77.38,76.29,46.68,43.09,Entrepreneur,Business Management and Finance
65.53,97.95,58.08,61.52,11.38,Pilot,Law Government and Security
70.36,85.26,28.58,60.85,21.1,Chemical Engineer,Engineering and Architecture
