openness,conscientiousness,extraversion,agreeableness,neuroticism,actual,predicted
67.11,91.52,37.67,46.11,19.57,Engineering and Architecture,Technology and IT
75.08,88.98,48.75,43.67,36.73,Engineering and Architecture,Technology and IT
80.58,89.17,45.64,63.51,32.73,Engineering and Architecture,Technology and IT
84.73,84.62,52.88,59.31,36.99,Engineering and Architecture,Technology and IT
74.24,90.76,35.67,50.83,39.87,Engineering and Architecture,Technology and IT
71.13,88.55,37.84,53.86,43.41,Engineering and Architecture,Technology and IT
64.2,82.9,29.33,55.76,26.27,Engineering and Architecture,Technology and IT
72.22,89.75,33.88,48.72,31.54,Engineering and Architecture,Technology and IT
71.55,85.16,37.15,50.51,23.37,Engineering and Architecture,Technology and IT
68.92,86.12,26.97,56.17,25.97,Engineering and Architecture,Technology and IT
84.25,97.11,35.72,54.27,21.93,Engineering and Architecture,Technology and IT
82.19,82.46,46.05,64.63,37.82,Engineering and Architecture,Technology and IT
76.6,89.25,29.9,49.46,28.6,Engineering and Architecture,Technology and IT
79.44,89.09,31.67,51.49,24.42,Engineering and Architecture,Technology and IT
79.83,91.55,42.27,59.76,34.48,Engineering and Architecture,Technology and IT
72.13,87.98,39.24,49.26,24.07,Engineering and Architecture,Technology and IT
74.77,91.02,34.87,49.65,26.77,Engineering and Architecture,Technology and IT
80.82,92.8,58.35,53.89,42.56,Engineering and Architecture,Technology and IT
77.95,84.57,43.43,58.04,25.53,Engineering and Architecture,Technology and IT
65.93,92.11,37.98,43.17,23.98,Engineering and Architecture,Technology and IT
75.41,96.22,36.67,50.91,30.75,Engineering and Architecture,Technology and IT
83.11,88.72,47.61,54.97,30.94,Engineering and Architecture,Technology and IT
70.96,91.69,36.47,51.47,14.04,Engineering and Architecture,Technology and IT
65.31,92.43,32.51,52.91,25.92,Engineering and Architecture,Technology and IT
77.84,88.34,43.94,48.64,15.1,Engineering and Architecture,Technology and IT
77.1,97.36,34.25,48.04,17.92,Engineering and Architecture,Technology and IT
72.35,89.08,42.88,49.27,30.42,Engineering and Architecture,Technology and IT
76.7,97.0,39.42,58.29,30.39,Engineering and Architecture,Technology and IT
72.57,79.29,41.14,53.41,23.39,Engineering and Architecture,Technology and IT
72.86,83.82,32.76,55.46,31.44,Engineering and Architecture,Technology and IT
73.58,69.68,42.96,55.61,23.54,Engineering and Architecture,Technology and IT
76.19,89.65,40.62,54.12,24.97,Engineering and Architecture,Technology and IT
79.67,86.45,35.85,61.45,19.71,Engineering and Architecture,Technology and IT
92.83,83.07,48.0,60.44,28.99,Engineering and Architecture,Technology and IT
82.64,90.31,44.03,61.94,25.7,Engineering and Architecture,Technology and IT
67.93,88.95,32.98,45.72,30.15,Engineering and Architecture,Technology and IT
69.22,81.13,40.04,56.43,34.64,Engineering and Architecture,Technology and IT
78.01,91.88,27.47,51.6,27.9,Engineering and Architecture,Technology and IT
76.43,81.63,42.55,58.95,23.78,Engineering and Architecture,Technology and IT
72.16,96.26,25.68,49.85,23.96,Engineering and Architecture,Technology and IT
69.55,93.65,40.89,49.54,24.26,Engineering and Architecture,Technology and IT
67.81,78.53,27.85,49.81,27.32,Engineering and Architecture,Technology and IT
74.68,78.41,45.51,53.05,33.64,Engineering and Architecture,Technology and IT
70.2,94.72,40.53,47.79,28.81,Engineering and Architecture,Technology and IT
76.35,82.42,38.8,59.74,25.99,Engineering and Architecture,Technology and IT
77.6,85.72,49.9,51.72,23.03,Engineering and Architecture,Technology and IT
73.4,93.9,26.02,47.06,25.68,Engineering and Architecture,Technology and IT
79.72,92.6,27.38,48.24,20.96,Engineering and Architecture,Technology and IT
78.27,88.11,38.55,58.49,44.83,Engineering and Architecture,Technology and IT
68.56,77.55,31.12,50.51,15.08,Engineering and Architecture,Technology and IT
77.99,75.42,46.0,48.1,21.95,Engineering and Architecture,Technology and IT
72.43,88.41,43.24,51.45,35.79,Engineering and Architecture,Technology and IT
78.59,90.12,30.17,46.93,31.26,Engineering and Architecture,Technology and IT
74.71,98.39,45.14,43.96,20.06,Engineering and Architecture,Technology and IT
78.44,88.35,47.23,60.95,29.34,Engineering and Architecture,Technology and IT
66.93,87.94,39.67,48.58,19.27,Engineering and Architecture,Technology and IT
76.02,97.96,36.63,50.23,22.66,Engineering and Architecture,Technology and IT
74.37,84.43,47.85,58.32,40.63,Engineering and Architecture,Technology and IT
78.76,79.59,48.14,60.39,38.87,Engineering and Architecture,Technology and IT
75.74,87.96,26.06,50.02,22.18,Engineering and Architecture,Technology and IT
74.97,94.13,38.5,53.8,27.78,Engineering and Architecture,Technology and IT
70.13,88.13,37.1,46.68,27.84,Engineering and Architecture,Technology and IT
78.61,94.55,44.99,47.33,24.83,Engineering and Architecture,Technology and IT
77.9,92.84,39.08,54.1,30.06,Engineering and Architecture,Technology and IT
75.8,73.06,34.76,54.83,25.81,Engineering and Architecture,Technology and IT
74.05,92.83,36.77,50.37,25.7,Engineering and Architecture,Technology and IT
94.74,80.43,48.01,56.4,29.3,Engineering and Architecture,Technology and IT
79.29,92.01,40.66,59.27,27.01,Engineering and Architecture,Technology and IT
81.29,96.71,31.06,53.76,26.48,Engineering and Architecture,Technology and IT
78.99,95.77,42.58,66.93,30.62,Engineering and Architecture,Technology and IT
79.29,90.14,43.89,59.77,22.82,Engineering and Architecture,Technology and IT
78.11,91.35,32.46,58.88,27.12,Engineering and Architecture,Technology and IT
77.29,86.86,32.85,49.22,23.63,Engineering and Architecture,Technology and IT
82.02,87.7,41.36,52.49,26.35,Engineering and Architecture,Technology and IT
69.07,83.68,47.82,45.41,26.57,Engineering and Architecture,Technology and IT
73.42,84.18,26.95,50.3,27.58,Engineering and Architecture,Technology and IT
100.0,81.32,48.51,52.58,30.67,Engineering and Architecture,Technology and IT
75.88,95.57,38.28,53.9,32.33,Engineering and Architecture,Technology and IT
71.04,79.72,50.11,54.29,33.0,Engineering and Architecture,Technology and IT
69.57,88.87,33.1,49.05,29.05,Engineering and Architecture,Technology and IT
76.0,85.41,36.98,47.23,33.38,Engineering and Architecture,Technology and IT
72.1,76.7,46.52,52.43,36.17,Engineering and Architecture,Technology and IT
69.53,92.03,30.87,51.66,25.47,Engineering and Architecture,Technology and IT
62.34,92.23,30.76,55.91,24.76,Engineering and Architecture,Technology and IT
76.58,89.1,53.9,52.22,31.48,Engineering and Architecture,Technology and IT
69.25,87.77,45.44,51.42,40.31,Engineering and Architecture,Technology and IT
82.0,96.59,36.32,49.58,17.88,Engineering and Architecture,Technology and IT
70.29,76.38,51.11,63.84,32.0,Engineering and Architecture,Technology and IT
73.38,83.03,43.09,56.34,29.11,Engineering and Architecture,Technology and IT
66.85,90.63,30.13,49.9,28.05,Engineering and Architecture,Technology and IT
79.75,91.42,38.74,63.35,29.82,Engineering and Architecture,Technology and IT
68.69,89.49,32.72,52.49,25.71,Engineering and Architecture,Technology and IT
61.83,72.63,44.77,67.44,45.73,Engineering and Architecture,Technology and IT
75.16,85.57,44.81,48.9,23.92,Engineering and Architecture,Technology and IT
77.5,85.92,39.8,55.77,31.18,Engineering and Architecture,Technology and IT
74.83,85.34,32.77,49.84,25.29,Engineering and Architecture,Technology and IT
73.71,77.4,35.1,53.92,33.26,Engineering and Architecture,Technology and IT
69.11,84.11,34.36,50.51,22.83,Engineering and Architecture,Technology and IT
85.41,75.37,47.65,52.1,38.68,Engineering and Architecture,Technology and IT
70.38,85.86,33.16,47.73,30.62,Engineering and Architecture,Technology and IT
75.27,89.15,47.58,49.92,28.38,Engineering and Architecture,Technology and IT
74.55,89.12,42.03,55.32,29.0,Engineering and Architecture,Technology and IT
67.48,82.99,42.49,51.29,34.81,Engineering and Architecture,Technology and IT
64.34,81.12,43.93,53.79,34.74,Engineering and Architecture,Technology and IT
73.33,84.37,38.34,61.19,33.35,Engineering and Architecture,Technology and IT
94.9,89.91,43.8,62.44,29.35,Engineering and Architecture,Technology and IT
71.59,87.53,40.15,46.57,27.58,Engineering and Architecture,Technology and IT
71.35,78.29,49.14,57.2,32.7,Engineering and Architecture,Technology and IT
88.05,92.01,48.14,64.24,29.5,Engineering and Architecture,Technology and IT
75.32,93.02,50.96,50.58,26.49,Engineering and Architecture,Technology and IT
70.14,79.55,40.29,49.71,28.51,Engineering and Architecture,Technology and IT
76.99,92.58,38.72,59.26,27.3,Engineering and Architecture,Technology and IT
72.42,90.81,38.47,48.12,22.71,Engineering and Architecture,Technology and IT
78.3,85.62,29.04,48.64,22.96,Engineering and Architecture,Technology and IT
75.63,86.74,45.69,44.29,30.28,Engineering and Architecture,Technology and IT
90.86,76.42,45.77,53.74,34.44,Engineering and Architecture,Technology and IT
67.32,79.3,35.23,41.24,27.98,Engineering and Architecture,Technology and IT
76.03,92.6,38.3,56.69,31.23,Engineering and Architecture,Technology and IT
78.25,84.98,46.02,55.76,21.88,Engineering and Architecture,Technology and IT
77.03,87.49,52.8,56.89,32.98,Engineering and Architecture,Technology and IT
66.41,83.22,44.33,44.4,36.22,Engineering and Architecture,Technology and IT
70.83,80.31,46.35,56.63,28.77,Engineering and Architecture,Technology and IT
81.89,86.02,26.8,60.94,21.94,Engineering and Architecture,Technology and IT
75.63,85.02,37.02,54.41,32.31,Engineering and Architecture,Technology and IT
74.32,87.04,36.49,51.52,31.89,Engineering and Architecture,Technology and IT
70.61,85.59,47.53,50.75,37.55,Engineering and Architecture,Technology and IT
71.66,97.42,37.19,46.5,24.4,Engineering and Architecture,Technology and IT
69.89,87.05,34.82,51.89,20.09,Engineering and Architecture,Technology and IT
66.41,96.55,30.02,52.15,21.98,Engineering and Architecture,Technology and IT
69.84,88.11,37.35,48.7,33.16,Engineering and Architecture,Technology and IT
83.54,89.22,32.67,51.67,30.14,Engineering and Architecture,Technology and IT
84.16,82.86,43.29,58.61,32.8,Engineering and Architecture,Technology and IT
63.55,98.7,34.55,52.89,26.1,Engineering and Architecture,Technology and IT
69.81,85.3,37.05,50.17,24.46,Engineering and Architecture,Technology and IT
64.07,78.26,31.04,48.53,22.74,Engineering and Architecture,Technology and IT
76.08,90.62,45.82,54.14,33.0,Engineering and Architecture,Technology and IT
75.29,85.69,44.8,57.38,29.05,Engineering and Architecture,Technology and IT
87.84,75.12,53.31,56.59,29.57,Engineering and Architecture,Technology and IT
69.43,76.11,42.81,51.64,18.43,Engineering and Architecture,Technology and IT
76.83,78.73,44.47,60.68,22.48,Engineering and Architecture,Technology and IT
82.43,84.12,33.66,47.57,24.07,Engineering and Architecture,Technology and IT
76.99,94.19,29.11,40.38,24.18,Engineering and Architecture,Technology and IT
82.34,93.23,47.23,49.84,22.65,Engineering and Architecture,Technology and IT
78.39,87.85,42.31,61.33,28.02,Engineering and Architecture,Technology and IT
75.75,89.71,42.0,52.64,32.93,Engineering and Architecture,Technology and IT
71.25,82.26,39.13,51.51,32.31,Engineering and Architecture,Technology and IT
70.15,88.03,39.56,46.96,24.44,Engineering and Architecture,Technology and IT
77.66,84.31,34.5,52.29,27.2,Engineering and Architecture,Technology and IT
65.64,68.93,53.42,59.94,21.67,Engineering and Architecture,Technology and IT
75.44,86.68,40.75,51.05,14.02,Engineering and Architecture,Technology and IT
75.26,92.24,35.25,51.29,25.29,Engineering and Architecture,Technology and IT
61.19,89.9,29.2,45.05,27.39,Engineering and Architecture,Technology and IT
75.06,74.39,52.52,57.45,20.35,Engineering and Architecture,Technology and IT
84.84,85.17,54.51,52.06,25.29,Engineering and Architecture,Technology and IT
77.9,95.44,29.74,51.78,30.96,Engineering and Architecture,Technology and IT
79.61,83.46,37.63,58.76,28.22,Engineering and Architecture,Technology and IT
63.89,86.8,28.89,44.9,19.36,Engineering and Architecture,Technology and IT
73.9,82.21,43.24,59.45,38.67,Engineering and Architecture,Technology and IT
65.03,88.57,36.42,49.15,34.26,Engineering and Architecture,Technology and IT
70.28,88.72,30.51,47.65,35.34,Engineering and Architecture,Technology and IT
69.39,76.09,40.59,50.96,29.24,Engineering and Architecture,Technology and IT
76.13,90.82,44.35,52.76,28.67,Engineering and Architecture,Technology and IT
73.15,81.7,41.25,58.07,31.08,Engineering and Architecture,Technology and IT
77.36,90.42,39.38,57.54,33.05,Engineering and Architecture,Technology and IT
74.32,77.14,37.09,55.15,25.35,Engineering and Architecture,Technology and IT
66.95,85.77,44.14,52.04,38.19,Engineering and Architecture,Technology and IT
77.09,94.83,33.99,49.97,25.93,Engineering and Architecture,Technology and IT
75.77,95.93,36.15,52.05,28.85,Engineering and Architecture,Technology and IT
68.87,88.61,39.74,43.12,29.28,Engineering and Architecture,Technology and IT
74.5,87.15,39.24,58.78,31.91,Engineering and Architecture,Technology and IT
63.47,90.15,29.58,53.02,26.28,Engineering and Architecture,Technology and IT
