openness,conscientiousness,extraversion,agreeableness,neuroticism,actual,predicted
69.92,79.69,38.32,53.55,18.76,Technology and IT,Engineering and Architecture
93.52,87.34,48.2,60.65,36.33,Technology and IT,Engineering and Architecture
75.45,87.51,32.84,53.87,19.71,Technology and IT,Engineering and Architecture
71.92,94.73,54.53,53.5,30.87,Technology and IT,Engineering and Architecture
72.16,86.1,38.72,57.91,23.95,Technology and IT,Engineering and Architecture
73.43,87.89,43.27,62.41,27.96,Technology and IT,Engineering and Architecture
70.32,94.47,34.82,57.69,31.16,Technology and IT,Engineering and Architecture
69.43,89.96,38.47,58.77,26.33,Technology and IT,Engineering and Architecture
72.73,85.9,39.32,57.92,21.26,Technology and IT,Engineering and Architecture
68.37,85.45,43.05,58.78,35.18,Technology and IT,Engineering and Architecture
73.12,90.46,49.02,59.95,25.58,Technology and IT,Engineering and Architecture
69.64,80.07,43.58,63.89,34.26,Technology and IT,Engineering and Architecture
74.95,91.58,32.04,52.64,22.33,Technology and IT,Engineering and Architecture
99.11,88.44,45.57,63.26,35.04,Technology and IT,Engineering and Architecture
65.29,93.75,35.96,55.48,25.07,Technology and IT,Engineering and Architecture
74.33,85.22,50.37,52.9,22.38,Technology and IT,Engineering and Architecture
68.44,85.59,33.32,57.32,25.15,Technology and IT,Engineering and Architecture
74.2,84.32,39.85,57.68,21.55,Technology and IT,Engineering and Architecture
70.42,88.21,26.51,58.49,24.66,Technology and IT,Engineering and Architecture
71.86,88.85,34.76,52.64,31.06,Technology and IT,Engineering and Architecture
73.37,85.4,44.71,60.96,29.62,Technology and IT,Engineering and Architecture
71.92,90.97,36.92,53.72,25.39,Technology and IT,Engineering and Architecture
73.3,90.33,50.2,54.84,28.04,Technology and IT,Engineering and Architecture
72.98,95.75,36.4,55.54,26.48,Technology and IT,Engineering and Architecture
66.26,87.19,48.9,53.94,33.25,Technology and IT,Engineering and Architecture
70.95,82.38,49.13,61.85,33.17,Technology and IT,Engineering and Architecture
71.48,87.02,41.47,64.33,34.04,Technology and IT,Engineering and Architecture
71.07,89.41,39.5,55.99,28.27,Technology and IT,Engineering and Architecture
75.05,90.07,34.86,53.63,25.33,Technology and IT,Engineering and Architecture
70.48,87.97,38.04,59.41,32.98,Technology and IT,Engineering and Architecture
70.01,82.71,46.73,61.95,29.16,Technology and IT,Engineering and Architecture
67.61,81.37,46.49,55.85,30.35,Technology and IT,Engineering and Architecture
72.17,94.62,30.34,55.63,19.51,Technology and IT,Engineering and Architecture
69.15,91.97,32.57,58.98,31.66,Technology and IT,Engineering and Architecture
69.23,84.8,39.1,54.38,30.0,Technology and IT,Engineering and Architecture
67.06,85.41,43.57,48.08,32.55,Technology and IT,Engineering and Architecture
70.06,92.74,33.07,55.06,26.38,Technology and IT,Engineering and Architecture
76.68,91.9,31.45,52.77,24.73,Technology and IT,Engineering and Architecture
70.72,94.79,37.62,50.13,33.62,Technology and IT,Engineering and Architecture
65.77,83.39,47.73,54.99,33.87,Technology and IT,Engineering and Architecture
73.03,84.87,41.31,52.48,23.95,Technology and IT,Engineering and Architecture
70.56,95.78,44.16,50.49,28.22,Technology and IT,Engineering and Architecture
65.91,90.39,28.88,55.54,35.71,Technology and IT,Engineering and Architecture
67.31,91.91,42.23,51.55,37.42,Technology and IT,Engineering and Architecture
67.3,84.82,45.21,51.96,28.96,Technology and IT,Engineering and Architecture
67.87,79.24,38.55,49.53,25.78,Technology and IT,Engineering and Architecture
72.49,96.46,35.3,53.83,31.57,Technology and IT,Engineering and Architecture
74.37,92.22,40.33,53.36,20.01,Technology and IT,Engineering and Architecture
74.74,91.26,36.87,55.74,25.14,Technology and IT,Engineering and Architecture
70.24,88.02,47.42,60.4,32.9,Technology and IT,Engineering and Architecture
66.73,85.02,33.64,54.86,28.9,Technology and IT,Engineering and Architecture
74.09,85.68,39.27,53.98,17.96,Technology and IT,Engineering and Architecture
78.31,82.8,54.08,59.65,29.32,Technology and IT,Engineering and Architecture
66.8,82.0,40.17,57.42,26.12,Technology and IT,Engineering and Architecture
65.54,97.82,40.59,53.94,23.04,Technology and IT,Engineering and Architecture
68.09,92.53,52.66,58.55,30.6,Technology and IT,Engineering and Architecture
69.81,90.59,35.66,54.68,23.58,Technology and IT,Engineering and Architecture
69.3,90.74,40.38,65.51,35.29,Technology and IT,Engineering and Architecture
71.96,85.06,44.17,52.7,25.79,Technology and IT,Engineering and Architecture
72.64,88.51,45.41,57.67,30.0,Technology and IT,Engineering and Architecture
71.11,97.25,34.1,53.57,25.64,Technology and IT,Engineering and Architecture
75.22,89.1,38.93,56.96,28.56,Technology and IT,Engineering and Architecture
74.2,97.61,38.02,59.03,35.73,Technology and IT,Engineering and Architecture
66.25,82.89,39.82,53.42,29.85,Technology and IT,Engineering and Architecture
70.78,84.09,44.5,56.5,21.04,Technology and IT,Engineering and Architecture
75.38,91.02,27.7,52.92,20.4,Technology and IT,Engineering and Architecture
73.83,83.01,54.13,58.18,24.09,Technology and IT,Engineering and Architecture
67.03,95.35,48.15,53.84,32.07,Technology and IT,Engineering and Architecture
75.06,84.07,41.38,60.8,21.79,Technology and IT,Engineering and Architecture
71.29,95.85,39.98,60.91,32.3,Technology and IT,Engineering and Architecture
73.06,85.88,36.93,63.27,36.43,Technology and IT,Engineering and Architecture
71.76,80.52,47.04,53.64,19.79,Technology and IT,Engineering and Architecture
69.69,96.75,42.68,63.06,27.99,Technology and IT,Engineering and Architecture
73.26,88.22,33.91,52.36,31.11,Technology and IT,Engineering and Architecture
63.98,89.81,37.21,55.56,28.11,Technology and IT,Engineering and Architecture
68.97,95.57,36.32,60.2,31.39,Technology and IT,Engineering and Architecture
70.18,82.76,48.21,55.66,28.33,Technology and IT,Engineering and Architecture
70.85,92.4,45.28,53.21,23.08,Technology and IT,Engineering and Architecture
76.26,90.85,30.2,54.2,26.14,Technology and IT,Engineering and Architecture
73.33,81.84,39.39,53.87,24.33,Technology and IT,Engineering and Architecture
77.0,86.97,48.94,65.5,36.05,Technology and IT,Engineering and Architecture
70.07,91.46,40.52,52.2,27.68,Technology and IT,Engineering and Architecture
70.98,87.65,43.51,50.26,21.21,Technology and IT,Engineering and Architecture
70.53,90.79,42.54,55.25,30.49,Technology and IT,Engineering and Architecture
62.7,89.04,36.06,55.78,27.51,Technology and IT,Engineering and Architecture
71.56,87.43,35.44,60.8,29.2,Technology and IT,Engineering and Architecture
74.64,90.29,53.01,53.56,26.12,Technology and IT,Engineering and Architecture
76.98,79.33,50.94,68.0,36.08,Technology and IT,Engineering and Architecture
80.93,81.86,58.11,65.86,37.16,Technology and IT,Engineering and Architecture
75.3,87.71,41.84,57.17,24.54,Technology and IT,Engineering and Architecture
71.38,84.64,36.37,59.62,18.68,Technology and IT,Engineering and Architecture
72.48,93.0,31.07,52.67,29.43,Technology and IT,Engineering and Architecture
70.85,87.09,50.74,59.34,36.58,Technology and IT,Engineering and Architecture
71.37,89.15,41.33,60.65,26.43,Technology and IT,Engineering and Architecture
69.83,78.63,49.16,64.15,24.79,Technology and IT,Engineering and Architecture
71.72,90.41,36.3,52.47,33.6,Technology and IT,Engineering and Architecture
92.7,75.5,54.7,56.93,42.95,Technology and IT,Engineering and Architecture
70.84,87.2,43.34,51.71,26.52,Technology and IT,Engineering and Architecture
61.09,79.54,51.28,56.43,30.81,Technology and IT,Engineering and Architecture
78.19,82.42,54.08,63.6,25.68,Technology and IT,Engineering and Architecture
69.88,78.61,49.22,59.61,21.42,Technology and IT,Engineering and Architecture
76.09,90.76,41.29,57.96,28.0,Technology and IT,Engineering and Architecture
80.77,87.83,51.61,68.33,29.69,Technology and IT,Engineering and Architecture
72.2,87.51,37.24,57.5,26.42,Technology and IT,Engineering and Architecture
76.5,93.28,35.05,56.07,26.2,Technology and IT,Engineering and Architecture
69.78,89.96,42.84,49.75,29.7,Technology and IT,Engineering and Architecture
65.77,83.25,44.02,52.9,35.56,Technology and IT,Engineering and Architecture
68.84,81.12,48.93,60.76,28.64,Technology and IT,Engineering and Architecture
69.46,87.38,37.47,51.95,29.39,Technology and IT,Engineering and Architecture
73.57,83.92,32.03,54.85,26.6,Technology and IT,Engineering and Architecture
76.05,94.07,24.16,54.63,23.89,Technology and IT,Engineering and Architecture
71.29,89.66,34.25,54.2,24.64,Technology and IT,Engineering and Architecture
69.73,87.62,51.07,57.05,17.87,Technology and IT,Engineering and Architecture
74.2,86.59,39.1,56.4,20.7,Technology and IT,Engineering and Architecture
93.94,82.02,49.08,54.54,39.8,Technology and IT,Engineering and Architecture
71.64,89.47,40.96,64.84,37.25,Technology and IT,Engineering and Architecture
71.16,90.43,56.55,58.82,30.55,Technology and IT,Engineering and Architecture
73.04,90.8,48.34,55.73,21.34,Technology and IT,Engineering and Architecture
71.63,98.97,46.18,58.68,20.89,Technology and IT,Engineering and Architecture
73.1,91.66,40.27,53.17,28.74,Technology and IT,Engineering and Architecture
73.89,91.64,39.36,55.78,24.97,Technology and IT,Engineering and Architecture
73.59,91.5,35.39,55.62,28.86,Technology and IT,Engineering and Architecture
65.34,84.94,36.95,54.97,22.15,Technology and IT,Engineering and Architecture
71.78,89.56,45.33,54.58,18.09,Technology and IT,Engineering and Architecture
72.34,80.97,39.52,60.62,22.77,Technology and IT,Engineering and Architecture
71.18,99.26,35.52,56.21,28.42,Technology and IT,Engineering and Architecture
70.81,89.38,38.11,58.55,19.31,Technology and IT,Engineering and Architecture
72.96,90.01,31.7,52.24,21.35,Technology and IT,Engineering and Architecture
73.42,80.14,36.66,58.76,21.43,Technology and IT,Engineering and Architecture
74.99,89.11,41.72,65.3,25.5,Technology and IT,Engineering and Architecture
71.42,91.81,40.2,52.21,22.61,Technology and IT,Engineering and Architecture
59.84,90.05,44.81,57.05,20.79,Technology and IT,Engineering and Architecture
68.48,85.33,44.87,52.24,24.06,Technology and IT,Engineering and Architecture
67.31,86.17,31.08,56.7,26.44,Technology and IT,Engineering and Architecture
65.23,84.15,32.94,54.96,25.4,Technology and IT,Engineering and Architecture
74.54,92.16,45.47,58.89,29.61,Technology and IT,Engineering and Architecture
70.02,87.97,47.56,54.41,29.58,Technology and IT,Engineering and Architecture
74.27,94.06,41.16,59.34,21.27,Technology and IT,Engineering and Architecture
68.37,83.3,48.6,58.42,29.86,Technology and IT,Engineering and Architecture
70.34,91.74,44.67,51.58,24.77,Technology and IT,Engineering and Architecture
73.81,88.6,33.3,57.18,21.92,Technology and IT,Engineering and Architecture
74.5,86.08,32.97,53.48,16.9,Technology and IT,Engineering and Architecture
65.47,85.66,37.57,60.55,31.91,Technology and IT,Engineering and Architecture
76.88,87.91,42.69,59.51,22.4,Technology and IT,Engineering and Architecture
62.06,93.93,43.28,55.61,18.99,Technology and IT,Engineering and Architecture
71.34,80.35,32.17,52.72,23.54,Technology and IT,Engineering and Architecture
65.59,93.84,32.73,56.98,33.41,Technology and IT,Engineering and Architecture
69.43,80.79,42.28,55.08,22.73,Technology and IT,Engineering and Architecture
71.82,94.17,31.83,52.79,31.13,Technology and IT,Engineering and Architecture
73.61,96.15,38.87,60.06,21.58,Technology and IT,Engineering and Architecture
66.61,87.56,40.98,54.01,28.16,Technology and IT,Engineering and Architecture
70.28,92.02,52.03,54.43,21.23,Technology and IT,Engineering and Architecture
84.61,77.72,43.86,66.47,33.7,Technology and IT,Engineering and Architecture
72.85,87.79,41.4,51.85,26.26,Technology and IT,Engineering and Architecture
70.94,86.5,42.29,63.35,43.71,Technology and IT,Engineering and Architecture
73.25,89.26,43.86,55.53,30.36,Technology and IT,Engineering and Architecture
66.0,98.75,45.31,53.0,26.45,Technology and IT,Engineering and Architecture
71.98,85.49,43.32,59.93,26.37,Technology and IT,Engineering and Architecture
77.57,88.29,49.18,59.56,21.03,Technology and IT,Engineering and Architecture
